Model Name,Window Size,Future Steps,Batch Size,Epochs,Units,LSTM Layers,MSE,MAE,R2
model_20241013-125616_ws15_fs30_bs256_epochs30_units1_layers3.keras,15,30,256,30,1,3,8862.999946310136,93.42507451375326,-579.3367653794994
model_20241013-140343_ws30_fs2_bs256_epochs30_units128_layers2.keras,30,2,256,30,128,2,6.24603457772173,1.9512786865234375,-0.7578596856620718
model_20241013-140552_ws15_fs30_bs256_epochs30_units2_layers3.keras,15,30,256,30,2,3,4481.873915807212,66.68833669026692,-292.4667975735643
model_20241013-140741_ws10_fs60_bs30_epochs30_units2_layers3.keras,10,60,30,30,2,3,2594.7898009107216,50.721047973632814,-94.4609196719479
model_20241013-142346_ws30_fs3_bs64_epochs30_units16_layers2.keras,30,3,64,30,16,2,27.71056607939924,5.240966796875,-1.6966999498879152
model_20241013-142411_ws20_fs60_bs64_epochs30_units1_layers1.keras,20,60,64,30,1,1,3358.548596913643,57.76551996866862,-122.55919454892978
model_20241013-142454_ws10_fs60_bs512_epochs30_units128_layers1.keras,10,60,512,30,128,1,27.351361797691787,4.098478444417318,-0.0062418738394278694
model_20241013-145213_ws60_fs60_bs64_epochs30_units16_layers1.keras,60,60,64,30,16,1,40.59776068106294,5.243116251627604,-0.4935697565466335
model_20241013-145217_ws20_fs60_bs128_epochs30_units8_layers1.keras,20,60,128,30,8,1,338.41829446244907,17.7140749613444,-11.450226839900008
model_20241013-152540_ws15_fs2_bs128_epochs30_units128_layers2.keras,15,2,128,30,128,2,67.95723245386034,7.71337890625,-18.125619269847306
model_20241013-155626_ws60_fs30_bs14_epochs30_units16_layers2.keras,60,30,14,30,16,2,54.63859947392872,6.6569371541341145,-2.5776586117172307
