Model Name,Window Size,Batch Size,Epochs,Units,LSTM Layers,MSE,MAE,R2
model_20241011-170835_ws30_bs5_epochs30_units12_layers2.keras,30,5,30,12,2,7.834457039422405,1.9842607250480668,0.9975335678631423
model_20241011-170839_ws10_bs128_epochs30_units32_layers1.keras,10,128,30,32,1,4.248602050477371,1.2272005084139037,0.9985992127671768
model_20241011-170904_ws60_bs128_epochs30_units5_layers3.keras,60,128,30,5,3,25.435146264446296,3.137022529464019,0.9925257358152099
model_20241011-170933_ws10_bs14_epochs30_units128_layers1.keras,10,14,30,128,1,2.0879198737187665,0.7816192883419353,0.9993116014473669
model_20241011-170943_ws30_bs256_epochs30_units6_layers3.keras,30,256,30,6,3,23.529876965686967,3.529831316733341,0.9925923590578837
model_20241011-171419_ws10_bs5_epochs30_units128_layers3.keras,10,5,30,128,3,7.2563046829342275,1.3877565724662988,0.9976075568300902
model_20241011-171432_ws1_bs5_epochs30_units64_layers1.keras,1,5,30,64,1,1.4869693629071166,0.6484354858457707,0.9995485613755972
model_20241011-171435_ws2_bs256_epochs30_units1_layers2.keras,2,256,30,1,2,280.99639311062816,12.073431957040706,0.9148204328441032
model_20241011-172302_ws60_bs1_epochs30_units32_layers2.keras,60,1,30,32,2,5.223137786503283,1.5204022224374145,0.9984651508867297
model_20241011-172307_ws30_bs128_epochs30_units5_layers1.keras,30,128,30,5,1,16.29267729980852,2.8282816718174124,0.9948707635148815
model_20241011-172333_ws30_bs14_epochs30_units5_layers1.keras,30,14,30,5,1,6.026240920463427,2.1238900874287348,0.9981028277778681
model_20241011-172341_ws20_bs256_epochs30_units5_layers3.keras,20,256,30,5,3,33.33622255995779,3.8807094603393315,0.9900546583145349
model_20241011-172350_ws2_bs5_epochs30_units5_layers1.keras,2,5,30,5,1,5.940128298510103,1.8252615530886964,0.9981993450103882
model_20241011-172402_ws5_bs30_epochs30_units128_layers1.keras,5,30,30,128,1,3.585963491088694,1.0576710717309339,0.9989194892339065
model_20241011-172404_ws15_bs512_epochs30_units8_layers1.keras,15,512,30,8,1,36.984433059790284,4.854521985999773,0.9885755883363141
model_20241011-172409_ws5_bs128_epochs30_units1_layers3.keras,5,128,30,1,3,226.0661256752334,10.078158430097382,0.9318824959461688
model_20241011-172420_ws2_bs14_epochs30_units32_layers3.keras,2,14,30,32,3,5.346020340055605,1.4252656640105223,0.9983794393460657
model_20241011-172426_ws10_bs256_epochs30_units2_layers3.keras,10,256,30,2,3,43.168128782479855,4.656222691725056,0.9857672328580245
model_20241011-172430_ws5_bs128_epochs30_units1_layers2.keras,5,128,30,1,2,197.73350683282095,9.804503828741574,0.9404195877952424
model_20241011-172543_ws60_bs30_epochs30_units6_layers3.keras,60,30,30,6,3,20.543791105388934,3.8152172571493064,0.9939630886930085
model_20241011-172546_ws2_bs256_epochs30_units5_layers2.keras,2,256,30,5,2,21.17179753167194,3.1601152126565215,0.9935821078352771
model_20241011-172659_ws60_bs14_epochs30_units64_layers1.keras,60,14,30,64,1,3.4702577332923163,0.8580955246078823,0.9989802447834085
model_20241011-172712_ws1_bs14_epochs30_units128_layers3.keras,1,14,30,128,3,2.2529545978647363,0.8431679069422299,0.9993160109751599
model_20241011-172743_ws2_bs5_epochs30_units32_layers3.keras,2,5,30,32,3,5.027852957773784,1.59679917101397,0.9984758867047163
model_20241011-172810_ws15_bs30_epochs30_units128_layers1.keras,15,30,30,128,1,2.2504074386770117,0.7637941356496796,0.9993048539922484
model_20241011-173315_ws20_bs1_epochs30_units12_layers2.keras,20,1,30,12,2,4.163003527204167,1.4413491449021372,0.9987580328742593
model_20241011-173326_ws30_bs128_epochs30_units1_layers3.keras,30,128,30,1,3,190.975941918897,9.911911542789289,0.9398772374211454
model_20241011-173342_ws20_bs64_epochs30_units8_layers3.keras,20,64,30,8,3,18.166891263172996,3.162454490484677,0.9945801915423984
model_20241011-173419_ws1_bs1_epochs30_units16_layers2.keras,1,1,30,16,2,7.678953056623725,1.6584637057254241,0.9976686970887159
model_20241011-173426_ws1_bs256_epochs30_units5_layers2.keras,1,256,30,5,2,56.658200772501935,5.478621714068061,0.9827987712081245
model_20241011-173431_ws20_bs128_epochs30_units32_layers1.keras,20,128,30,32,1,3.5145085598310857,0.9318936679689086,0.9989515012259969
model_20241011-173645_ws20_bs1_epochs30_units16_layers1.keras,20,1,30,16,1,1.9207761081725032,0.6885989897210849,0.999426966427804
